product_id,name,category,brand,price,rating,description,tags
PRD001,Prestige Pressure Cooker Lite,Home & Kitchen,Prestige,1327.0,3.6,Prestige Pressure Cooker Lite. Induction friendly pressure cooker with a 7 litre capacity and safety valve. A practical gift for a new home or a wedding. Dishwasher safe and easy to clean after heavy Indian cooking.,cooker kitchen cooking induction steel prestige pressure cooker
PRD002,Milton Bedsheet Set Plus,Home & Kitchen,Milton,1281.0,4.0,"Milton Bedsheet Set Plus. Cotton double bedsheet with 2 pillow covers, soft weave and colourfast dye. Backed by a replacement guarantee against manufacturing defects. Dishwasher safe and easy to clean after heavy Indian cooking.",bedsheet cotton home bedroom milton bedsheet set
PRD003,JBL Smart Watch Classic,Electronics,JBL,3498.0,3.5,"JBL Smart Watch Classic. Smart watch with a 11 day battery, SpO2 tracking, heart rate monitor and call support. Tuned for punchy bass with a clear mid range for podcasts and calls. Type C fast charging gives a full day of use from a ten minute top up.",watch smartwatch fitness tracker battery jbl smart watch
PRD004,Pigeon Non-Stick Tawa,Home & Kitchen,Pigeon,874.0,4.6,"Pigeon Non-Stick Tawa. Non stick tawa with a heat resistant handle, perfect for rotis and dosas. Food grade stainless steel with no plastic in contact with food. A practical gift for a new home or a wedding.",tawa kitchen cooking nonstick pan pigeon non-stick tawa
PRD005,JBL Smart Watch Pro,Electronics,JBL,3912.0,4.5,"JBL Smart Watch Pro. Smart watch with a 14 day battery, SpO2 tracking, heart rate monitor and call support. Designed and tested in India for daily commute use. Pairs instantly over Bluetooth 5.3 and remembers the last two devices.",watch smartwatch fitness tracker battery jbl smart watch
PRD006,Lakme Face Wash Pro,Beauty,Lakme,160.0,4.6,"Lakme Face Wash Pro. Gentle daily face wash with neem and aloe for oil control and clear skin. Formulated for Indian weather, from dry winters to humid monsoons. Travel friendly pack that fits in a handbag.",facewash skincare beauty cleanser daily lakme face wash
PRD007,HarperCollins Children's Storybook Lite,Books,HarperCollins,336.0,3.7,"HarperCollins Children's Storybook Lite. An illustrated children's storybook with 28 short bedtime stories. A thoughtful gift for a curious friend or a student. Written in clear, accessible language for the general reader.",book children stories illustrated reading harpercollins children's storybook
PRD008,Nivea Hair Serum Pro,Beauty,Nivea,983.0,3.8,"Nivea Hair Serum Pro. Anti frizz hair serum with argan oil for smooth, shiny and manageable hair. A little goes a long way, so one pack lasts for months. Absorbs quickly without leaving a sticky residue.",serum hair beauty frizz argan nivea hair serum
PRD009,Levis Running Shorts,Fashion,Levis,1499.0,3.2,"Levis Running Shorts. Quick dry running shorts with an elastic waistband and side pockets. Pairs easily with both formal trousers and weekend denim. Skin friendly dye, free from harsh azo chemicals.",shorts running sports clothing quickdry levis running shorts
PRD010,Maybelline Hair Serum,Beauty,Maybelline,1040.0,3.7,"Maybelline Hair Serum. Anti frizz hair serum with argan oil for smooth, shiny and manageable hair. Travel friendly pack that fits in a handbag. Formulated for Indian weather, from dry winters to humid monsoons.",serum hair beauty frizz argan maybelline hair serum
PRD011,Noise Smart Watch Lite,Electronics,Noise,1933.0,3.6,"Noise Smart Watch Lite. Smart watch with a 15 day battery, SpO2 tracking, heart rate monitor and call support. Tuned for punchy bass with a clear mid range for podcasts and calls. Type C fast charging gives a full day of use from a ten minute top up.",watch smartwatch fitness tracker battery noise smart watch
PRD012,Cello Non-Stick Tawa 2.0,Home & Kitchen,Cello,615.0,3.9,"Cello Non-Stick Tawa 2.0. Non stick tawa with a heat resistant handle, perfect for rotis and dosas. Ergonomic handle stays cool while cooking. Works on gas stoves as well as induction cooktops.",tawa kitchen cooking nonstick pan cello non-stick tawa
PRD013,Biba Cotton Kurta Pro,Fashion,Biba,2499.0,3.3,"Biba Cotton Kurta Pro. Breathable cotton kurta with a regular fit, ideal for daily wear and festive occasions. Pairs easily with both formal trousers and weekend denim. A staple piece that works from office desk to evening out.",kurta cotton ethnic clothing comfortable biba cotton kurta
PRD014,Yonex Yoga Mat Plus,Sports,Yonex,1280.0,3.4,"Yonex Yoga Mat Plus. Anti skid yoga mat, 8mm thick with a textured grip surface and carry strap. Comes with a carry bag for easy storage and transport. Sweat resistant finish wipes clean after every session.",yoga mat fitness exercise antiskid yonex yoga mat
PRD015,Plum Hair Serum Classic,Beauty,Plum,264.0,4.4,"Plum Hair Serum Classic. Anti frizz hair serum with argan oil for smooth, shiny and manageable hair. Free from parabens, sulphates and mineral oil. Formulated for Indian weather, from dry winters to humid monsoons.",serum hair beauty frizz argan plum hair serum
PRD016,Sony Smart Watch,Electronics,Sony,1624.0,4.3,"Sony Smart Watch. Smart watch with a 15 day battery, SpO2 tracking, heart rate monitor and call support. Type C fast charging gives a full day of use from a ten minute top up. Tuned for punchy bass with a clear mid range for podcasts and calls.",watch smartwatch fitness tracker battery sony smart watch
PRD017,Boat Rockerz 255 Earphones,Electronics,Boat,1299.0,4.2,"Wireless neckband earphones with 40 hour playback, IPX5 sweat resistance and fast charging.",wireless bluetooth earphones neckband sports battery
PRD018,Puma Cotton T-Shirt Max,Fashion,Puma,418.0,4.1,Puma Cotton T-Shirt Max. Soft combed cotton t shirt with a round neck and colourfast print. Machine washable fabric that holds colour after repeated washes. Breathable weave keeps you cool through humid afternoons.,tshirt cotton casual clothing comfortable puma cotton t-shirt
PRD019,Woodland Sports Sandals Plus,Fashion,Woodland,707.0,3.6,"Woodland Sports Sandals Plus. Durable sports sandals with adjustable straps and a cushioned anti-skid sole. Machine washable fabric that holds colour after repeated washes. Skin friendly dye, free from harsh azo chemicals.",sandals sports comfortable anti-skid outdoor woodland sports sandals
PRD020,Maybelline Kajal Pencil Plus,Beauty,Maybelline,169.0,4.4,"Maybelline Kajal Pencil Plus. Smudge proof kajal pencil with an intense matte black finish that lasts all day. Formulated for Indian weather, from dry winters to humid monsoons. Absorbs quickly without leaving a sticky residue.",kajal makeup eyes beauty smudgeproof maybelline kajal pencil
